system:index,date,distance_to_water,elevation,rainfall_mm,soil_texture,water_occurrence,water_seasonality,.geo
0,2020-05-25,1000,451.01786990406936,108.10380590754022,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2020-05-26,1000,451.01786990406936,116.22158450572671,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2020-05-27,1000,451.01786990406936,32.09072151890691,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2020-05-28,1000,451.01786990406936,11.742277319671235,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2020-05-29,1000,451.01786990406936,14.315503268797977,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2020-05-30,1000,451.01786990406936,12.239909138468484,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2020-05-31,1000,451.01786990406936,17.517857462854774,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2020-06-01,1000,451.01786990406936,20.836958532213046,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2020-06-02,1000,451.01786990406936,11.96919347259606,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2020-06-03,1000,451.01786990406936,46.65000848251396,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2020-06-04,1000,451.01786990406936,35.61131191534168,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2020-06-05,1000,451.01786990406936,111.34683369097104,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2020-06-06,1000,451.01786990406936,50.65240182481185,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2020-06-07,1000,451.01786990406936,8.08079581509362,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2020-06-08,1000,451.01786990406936,3.1896810635230195,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2020-06-09,1000,451.01786990406936,5.9829828722321565,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,2020-06-10,1000,451.01786990406936,15.08230240459009,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,2020-06-11,1000,451.01786990406936,41.15352622541415,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2020-06-12,1000,451.01786990406936,33.744476852108974,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2020-06-13,1000,451.01786990406936,17.298471610436966,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2020-06-14,1000,451.01786990406936,12.639766421914098,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
