system:index,date,distance_to_water,elevation,rainfall_mm,soil_texture,water_occurrence,water_seasonality,.geo
0,2021-10-01,1000,451.01786990406936,2.500265410369483,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2021-10-02,1000,451.01786990406936,19.488973573654658,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2021-10-03,1000,451.01786990406936,53.65645441459066,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2021-10-04,1000,451.01786990406936,50.77807150587141,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2021-10-05,1000,451.01786990406936,14.282339291145643,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2021-10-06,1000,451.01786990406936,0.9080497450084388,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2021-10-07,1000,451.01786990406936,1.8691878938009414,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2021-10-08,1000,451.01786990406936,0.8399763115684008,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2021-10-09,1000,451.01786990406936,3.445985831941705,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2021-10-10,1000,451.01786990406936,1.066616896045266,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2021-10-11,1000,451.01786990406936,0.11032969305350818,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2021-10-12,1000,451.01786990406936,0.11217954369900066,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2021-10-13,1000,451.01786990406936,3.885653467394217,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2021-10-14,1000,451.01786990406936,4.757688542270903,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2021-10-15,1000,451.01786990406936,9.87832511460758,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2021-10-16,1000,451.01786990406936,4.054450693404074,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,2021-10-17,1000,451.01786990406936,13.587218021340016,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,2021-10-18,1000,451.01786990406936,38.55803122204459,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2021-10-19,1000,451.01786990406936,44.86431580780007,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2021-10-20,1000,451.01786990406936,38.501217431724534,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2021-10-21,1000,451.01786990406936,0.17918574277124164,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2021-10-22,1000,451.01786990406936,0.047154098586097905,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2021-10-23,1000,451.01786990406936,0.042925361494393556,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,2021-10-24,1000,451.01786990406936,0.06788283575209009,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,2021-10-25,1000,451.01786990406936,0.9348952948000763,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,2021-10-26,1000,451.01786990406936,0.08147411749109489,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,2021-10-27,1000,451.01786990406936,0.08878381531624921,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,2021-10-28,1000,451.01786990406936,0.09460156745012015,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,2021-10-29,1000,451.01786990406936,0.07521867023887478,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,2021-10-30,1000,451.01786990406936,0.014411257360555138,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,2021-10-31,1000,451.01786990406936,0.002326602284951696,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,2021-11-01,1000,451.01786990406936,0.022869713278411124,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,2021-11-02,1000,451.01786990406936,0.005254385067417255,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,2021-11-03,1000,451.01786990406936,0.018600889577123414,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,2021-11-04,1000,451.01786990406936,0.01338219252720747,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,2021-11-05,1000,451.01786990406936,0.025301595100713073,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,2021-11-06,1000,451.01786990406936,0.03953781392525586,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,2021-11-07,1000,451.01786990406936,9.819297370540884E-4,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,2021-11-08,1000,451.01786990406936,2.3723402593140864E-4,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,2021-11-09,1000,451.01786990406936,0.05142171403609123,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,2021-11-10,1000,451.01786990406936,0.00324002774852957,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,2021-11-11,1000,451.01786990406936,0.009353087101711736,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,2021-11-12,1000,451.01786990406936,0.03635866835854432,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,2021-11-13,1000,451.01786990406936,0.009503110302940921,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,2021-11-14,1000,451.01786990406936,0.0332192016699007,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,2021-11-15,1000,451.01786990406936,0.022659418848865253,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,2021-11-16,1000,451.01786990406936,0.0059320934062003445,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,2021-11-17,1000,451.01786990406936,1.8238791675151192E-4,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,2021-11-18,1000,451.01786990406936,0.001480900438023385,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,2021-11-19,1000,451.01786990406936,0.012575151216634892,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,2021-11-20,1000,451.01786990406936,0.02439084549716136,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,2021-11-21,1000,451.01786990406936,0.1123187906372374,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,2021-11-22,1000,451.01786990406936,0.23875606991179496,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,2021-11-23,1000,451.01786990406936,0.21153400815623477,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,2021-11-24,1000,451.01786990406936,0.07694323244015952,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,2021-11-25,1000,451.01786990406936,0.023217012030065667,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,2021-11-26,1000,451.01786990406936,0.00633682769557341,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,2021-11-27,1000,451.01786990406936,0.012954736253098403,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,2021-11-28,1000,451.01786990406936,0.007666315348102896,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,2021-11-29,1000,451.01786990406936,0.001770117507339656,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,2021-11-30,1000,451.01786990406936,0.0010973389078613863,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,2021-12-01,1000,451.01786990406936,0.017427851548106867,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,2021-12-02,1000,451.01786990406936,7.551413785527841E-4,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,2021-12-03,1000,451.01786990406936,0.01287325360738743,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,2021-12-04,1000,451.01786990406936,0.5185444686915488,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,2021-12-05,1000,451.01786990406936,0.5386565013349717,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,2021-12-06,1000,451.01786990406936,0.36363212009770296,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
