system:index,date,distance_to_water,elevation,rainfall_mm,soil_texture,water_occurrence,water_seasonality,.geo
0,2023-06-01,1000,142.90041886515002,23.281331119689185,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2023-06-02,1000,142.90041886515002,0.39938334568178946,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2023-06-03,1000,142.90041886515002,3.495620488394286,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2023-06-04,1000,142.90041886515002,7.56605305719127,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2023-06-05,1000,142.90041886515002,0.9973992280627806,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2023-06-06,1000,142.90041886515002,0.9644537045314133,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2023-06-07,1000,142.90041886515002,3.2825209209738193,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2023-06-08,1000,142.90041886515002,22.2877260177341,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2023-06-09,1000,142.90041886515002,75.47729207486398,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2023-06-10,1000,142.90041886515002,74.28190897190252,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2023-06-11,1000,142.90041886515002,11.913048720393492,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2023-06-12,1000,142.90041886515002,8.99314686275047,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2023-06-13,1000,142.90041886515002,12.184067208844162,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2023-06-14,1000,142.90041886515002,161.2820721626601,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2023-06-15,1000,142.90041886515002,193.62569750513572,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2023-06-16,1000,142.90041886515002,109.70249257079593,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,2023-06-17,1000,142.90041886515002,89.86294925622973,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,2023-06-18,1000,142.90041886515002,179.48823483157352,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2023-06-19,1000,142.90041886515002,76.79656759667597,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2023-06-20,1000,142.90041886515002,155.60337899788846,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2023-06-21,1000,142.90041886515002,184.1365879779717,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2023-06-22,1000,142.90041886515002,82.89094135834182,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2023-06-23,1000,142.90041886515002,0.4353701310940137,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,2023-06-24,1000,142.90041886515002,1.1090629656588256,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,2023-06-25,1000,142.90041886515002,10.988164166811606,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,2023-06-26,1000,142.90041886515002,10.059577969488265,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,2023-06-27,1000,142.90041886515002,16.245927426261733,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,2023-06-28,1000,142.90041886515002,8.273957982897198,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,2023-06-29,1000,142.90041886515002,35.41640919002919,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,2023-06-30,1000,142.90041886515002,11.106834493327693,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,2023-07-01,1000,142.90041886515002,30.188970904681224,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,2023-07-02,1000,142.90041886515002,54.56625283610248,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,2023-07-03,1000,142.90041886515002,46.08846909389065,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,2023-07-04,1000,142.90041886515002,27.173208880619953,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,2023-07-05,1000,142.90041886515002,11.931486095784575,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,2023-07-06,1000,142.90041886515002,9.74879810442488,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,2023-07-07,1000,142.90041886515002,18.55662572484313,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,2023-07-08,1000,142.90041886515002,19.293723941192226,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,2023-07-09,1000,142.90041886515002,5.859821773312465,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,2023-07-10,1000,142.90041886515002,6.467362176385156,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,2023-07-11,1000,142.90041886515002,49.93233225650259,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,2023-07-12,1000,142.90041886515002,65.99999836855037,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,2023-07-13,1000,142.90041886515002,40.1825941900892,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,2023-07-14,1000,142.90041886515002,19.3022696042105,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
