system:index,date,distance_to_water,elevation,rainfall_mm,soil_texture,water_occurrence,water_seasonality,.geo
0,2022-01-01,1000,142.90041886515002,0.03893052548174155,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2022-01-02,1000,142.90041886515002,0.014173631149112189,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2022-01-03,1000,142.90041886515002,0.0029015008259517454,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2022-01-04,1000,142.90041886515002,0.0031708277168691866,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2022-01-05,1000,142.90041886515002,0.012547886251017139,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2022-01-06,1000,142.90041886515002,0.03210142964176822,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2022-01-07,1000,142.90041886515002,5.705558563430671E-5,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2022-01-08,1000,142.90041886515002,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2022-01-09,1000,142.90041886515002,0.009472803081294907,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2022-01-10,1000,142.90041886515002,5.09497174500081E-4,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2022-01-11,1000,142.90041886515002,3.547407929433729,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2022-01-12,1000,142.90041886515002,21.96126537281054,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2022-01-13,1000,142.90041886515002,0.04413958680782476,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2022-01-14,1000,142.90041886515002,1.4508854910612787,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2022-01-15,1000,142.90041886515002,0.11989970269103854,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2022-01-16,1000,142.90041886515002,0.008907885619696996,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,2022-01-17,1000,142.90041886515002,0.00902866098288843,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,2022-01-18,1000,142.90041886515002,0.11221634384672274,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2022-01-19,1000,142.90041886515002,0.5085504111589023,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2022-01-20,1000,142.90041886515002,2.7081412344348057,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2022-01-21,1000,142.90041886515002,0.29667800136078376,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2022-01-22,1000,142.90041886515002,0.0265349017999203,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2022-01-23,1000,142.90041886515002,0.8459220685883008,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,2022-01-24,1000,142.90041886515002,2.9588765665349676E-4,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
