system:index,date,distance_to_water,elevation,rainfall_mm,soil_texture,water_occurrence,water_seasonality,.geo
0,2023-09-01,1000,38.60712641514921,0.15069326352375464,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2023-09-02,1000,38.60712641514921,0.019137575162499778,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2023-09-03,1000,38.60712641514921,0.027672064821546487,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2023-09-04,1000,38.60712641514921,6.245377716394033E-4,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2023-09-05,1000,38.60712641514921,0.041466727518289545,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2023-09-06,1000,38.60712641514921,19.985181612571363,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2023-09-07,1000,38.60712641514921,36.74242732045323,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2023-09-08,1000,38.60712641514921,77.41035502736221,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2023-09-09,1000,38.60712641514921,13.817986596750302,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2023-09-10,1000,38.60712641514921,0.061826462184013865,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2023-09-11,1000,38.60712641514921,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2023-09-12,1000,38.60712641514921,0.0025730629109356226,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2023-09-13,1000,38.60712641514921,0.5652486133218616,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2023-09-14,1000,38.60712641514921,3.8409243008872864,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2023-09-15,1000,38.60712641514921,22.036343533327468,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2023-09-16,1000,38.60712641514921,121.97877449078568,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,2023-09-17,1000,38.60712641514921,91.20894951328464,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,2023-09-18,1000,38.60712641514921,12.352205057210787,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2023-09-19,1000,38.60712641514921,11.286791743581023,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2023-09-20,1000,38.60712641514921,2.12187561251614,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2023-09-21,1000,38.60712641514921,4.9514367642467265,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2023-09-22,1000,38.60712641514921,3.237034852288301,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2023-09-23,1000,38.60712641514921,22.537218549406713,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,2023-09-24,1000,38.60712641514921,12.450233460601005,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,2023-09-25,1000,38.60712641514921,4.092042663376839,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,2023-09-26,1000,38.60712641514921,11.77300524652094,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,2023-09-27,1000,38.60712641514921,22.002604562039632,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,2023-09-28,1000,38.60712641514921,2.528754610166937,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,2023-09-29,1000,38.60712641514921,0.4632196544189652,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
