system:index,date,distance_to_water,elevation,rainfall_mm,soil_texture,water_occurrence,water_seasonality,.geo
0,2021-10-15,1000,271.3126035737907,0.0649795930779999,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2021-10-16,1000,271.3126035737907,4.086082777772092,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2021-10-17,1000,271.3126035737907,13.817380758284022,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2021-10-18,1000,271.3126035737907,57.14086252335308,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2021-10-19,1000,271.3126035737907,128.88187219718742,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2021-10-20,1000,271.3126035737907,20.491711445736744,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2021-10-21,1000,271.3126035737907,0.02567905150246778,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2021-10-22,1000,271.3126035737907,0.1530812554404772,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2021-10-23,1000,271.3126035737907,0.022257972023475993,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2021-10-24,1000,271.3126035737907,0.227844958783541,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2021-10-25,1000,271.3126035737907,0.21928134116371287,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2021-10-26,1000,271.3126035737907,0.29081327172716687,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2021-10-27,1000,271.3126035737907,0.08296206750417126,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2021-10-28,1000,271.3126035737907,0.03364569374044759,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2021-10-29,1000,271.3126035737907,0.0032004622953655595,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2021-10-30,1000,271.3126035737907,0.030551923017079263,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,2021-10-31,1000,271.3126035737907,0.023703232446942175,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,2021-11-01,1000,271.3126035737907,0.017167622248007525,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2021-11-02,1000,271.3126035737907,0.018458252632285496,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2021-11-03,1000,271.3126035737907,0.02972353137313688,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2021-11-04,1000,271.3126035737907,0.048460732769858565,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2021-11-05,1000,271.3126035737907,0.17310380406117928,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2021-11-06,1000,271.3126035737907,0.04602110619566967,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,2021-11-07,1000,271.3126035737907,0.02134262977667012,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,2021-11-08,1000,271.3126035737907,0.029724631992434473,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,2021-11-09,1000,271.3126035737907,0.040832647709837126,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,2021-11-10,1000,271.3126035737907,0.02208647860083757,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
