system:index,date,distance_to_water,elevation,rainfall_mm,soil_texture,water_occurrence,water_seasonality,.geo
0,2019-07-01,1000,271.3126035737907,8.126930690062402,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2019-07-02,1000,271.3126035737907,0.6967247543792952,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2019-07-03,1000,271.3126035737907,1.2860930333955016,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2019-07-04,1000,271.3126035737907,0.8290572067779968,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2019-07-05,1000,271.3126035737907,6.6249821822898936,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2019-07-06,1000,271.3126035737907,14.614254662902685,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2019-07-07,1000,271.3126035737907,35.36646323456986,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2019-07-08,1000,271.3126035737907,71.49435344358973,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2019-07-09,1000,271.3126035737907,59.7969350832423,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2019-07-10,1000,271.3126035737907,46.38707263726191,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2019-07-11,1000,271.3126035737907,94.49232645871189,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2019-07-12,1000,271.3126035737907,129.6274529458792,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2019-07-13,1000,271.3126035737907,76.53015346027426,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2019-07-14,1000,271.3126035737907,31.375426472085216,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2019-07-15,1000,271.3126035737907,20.26445784408745,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2019-07-16,1000,271.3126035737907,8.367687588407096,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,2019-07-17,1000,271.3126035737907,7.224576993866437,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,2019-07-18,1000,271.3126035737907,10.1668822900038,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2019-07-19,1000,271.3126035737907,16.884700343477444,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2019-07-20,1000,271.3126035737907,8.393394308687055,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2019-07-21,1000,271.3126035737907,8.805136746524992,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2019-07-22,1000,271.3126035737907,29.376075835306057,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2019-07-23,1000,271.3126035737907,45.76957488355399,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,2019-07-24,1000,271.3126035737907,61.50384321899874,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,2019-07-25,1000,271.3126035737907,22.901620449324934,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,2019-07-26,1000,271.3126035737907,21.814669329434103,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,2019-07-27,1000,271.3126035737907,9.263512173644134,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,2019-07-28,1000,271.3126035737907,2.7665007383097064,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,2019-07-29,1000,271.3126035737907,2.179829775732077,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,2019-07-30,1000,271.3126035737907,3.76338292429752,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,2019-07-31,1000,271.3126035737907,5.167839544190361,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,2019-08-01,1000,271.3126035737907,8.418407177260754,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,2019-08-02,1000,271.3126035737907,4.994986806841646,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,2019-08-03,1000,271.3126035737907,5.798279395734659,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,2019-08-04,1000,271.3126035737907,6.469252892158823,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,2019-08-05,1000,271.3126035737907,15.012302257466171,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,2019-08-06,1000,271.3126035737907,42.32334859019321,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,2019-08-07,1000,271.3126035737907,5.6071414589137305,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,2019-08-08,1000,271.3126035737907,4.902545863103973,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,2019-08-09,1000,271.3126035737907,1.9927193397871326,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,2019-08-10,1000,271.3126035737907,9.446078014249922,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,2019-08-11,1000,271.3126035737907,17.874381680746406,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,2019-08-12,1000,271.3126035737907,41.78315716947156,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,2019-08-13,1000,271.3126035737907,3.6257442970088856,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
