system:index,date,distance_to_water,elevation,rainfall_mm,soil_texture,water_occurrence,water_seasonality,.geo
0,2017-07-01,1000,92.93116552988205,50.862848849594286,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2017-07-02,1000,92.93116552988205,25.62817264176831,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2017-07-03,1000,92.93116552988205,44.98715397502809,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2017-07-04,1000,92.93116552988205,3.629027481687409,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2017-07-05,1000,92.93116552988205,0.32720556348461827,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2017-07-06,1000,92.93116552988205,0.1924484706285953,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2017-07-07,1000,92.93116552988205,2.607887311074482,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2017-07-08,1000,92.93116552988205,2.0991798145878136,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2017-07-09,1000,92.93116552988205,1.5800988000402751,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2017-07-10,1000,92.93116552988205,0.8084017077549488,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2017-07-11,1000,92.93116552988205,5.8666402818768715,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2017-07-12,1000,92.93116552988205,3.240856225848889,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2017-07-13,1000,92.93116552988205,44.84419882181402,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2017-07-14,1000,92.93116552988205,100.898757268499,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2017-07-15,1000,92.93116552988205,34.42979290014064,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2017-07-16,1000,92.93116552988205,11.414213550892892,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,2017-07-17,1000,92.93116552988205,10.857985478428695,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,2017-07-18,1000,92.93116552988205,23.26889786128426,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2017-07-19,1000,92.93116552988205,20.351520446763733,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2017-07-20,1000,92.93116552988205,35.68243409365977,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2017-07-21,1000,92.93116552988205,71.65484897288277,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2017-07-22,1000,92.93116552988205,103.99362825377894,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2017-07-23,1000,92.93116552988205,133.11434340541547,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,2017-07-24,1000,92.93116552988205,145.62482393924984,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,2017-07-25,1000,92.93116552988205,73.61446701292391,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,2017-07-26,1000,92.93116552988205,88.96528313612663,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,2017-07-27,1000,92.93116552988205,80.07893913852902,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,2017-07-28,1000,92.93116552988205,51.320469273566395,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,2017-07-29,1000,92.93116552988205,6.9134623517865395,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,2017-07-30,1000,92.93116552988205,2.694681091461177,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,2017-07-31,1000,92.93116552988205,3.5929407374991236,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,2017-08-01,1000,92.93116552988205,2.0713501607868934,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,2017-08-02,1000,92.93116552988205,0.862169888764051,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,2017-08-03,1000,92.93116552988205,0.9273283349476298,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,2017-08-04,1000,92.93116552988205,2.7718303478496487,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
