system:index,date,distance_to_water,elevation,rainfall_mm,soil_texture,water_occurrence,water_seasonality,.geo
0,2019-08-10,1000,26.346362967286797,12.341238469601848,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2019-08-11,1000,26.346362967286797,4.374760457927034,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2019-08-12,1000,26.346362967286797,2.140641916242385,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2019-08-13,1000,26.346362967286797,4.461519979257849,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2019-08-14,1000,26.346362967286797,32.31767511829494,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2019-08-15,1000,26.346362967286797,22.679507575899184,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2019-08-16,1000,26.346362967286797,13.981244657741465,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2019-08-17,1000,26.346362967286797,1.8702386351369562,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2019-08-18,1000,26.346362967286797,1.297455685650536,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2019-08-19,1000,26.346362967286797,1.256927217951103,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2019-08-20,1000,26.346362967286797,0.7669814157393146,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2019-08-21,1000,26.346362967286797,2.755695667401579,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2019-08-22,1000,26.346362967286797,1.6692223663156462,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2019-08-23,1000,26.346362967286797,1.955289493903245,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2019-08-24,1000,26.346362967286797,2.4305254789865933,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2019-08-25,1000,26.346362967286797,5.134290743689725,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,2019-08-26,1000,26.346362967286797,48.39992158898559,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,2019-08-27,1000,26.346362967286797,50.971015598851686,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2019-08-28,1000,26.346362967286797,5.400439700084439,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2019-08-29,1000,26.346362967286797,2.7574673275842976,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2019-08-30,1000,26.346362967286797,3.5987453045367155,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2019-08-31,1000,26.346362967286797,6.385709182233675,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2019-09-01,1000,26.346362967286797,23.541954871881313,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,2019-09-02,1000,26.346362967286797,6.397290747341317,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,2019-09-03,1000,26.346362967286797,9.050575379641007,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,2019-09-04,1000,26.346362967286797,43.45156321745611,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,2019-09-05,1000,26.346362967286797,25.489417490320744,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,2019-09-06,1000,26.346362967286797,10.89616067282603,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,2019-09-07,1000,26.346362967286797,11.179202304680825,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,2019-09-08,1000,26.346362967286797,40.1670403309238,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,2019-09-09,1000,26.346362967286797,105.81245849654178,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
