system:index,date,distance_to_water,elevation,rainfall_mm,soil_texture,water_occurrence,water_seasonality,.geo
0,2023-07-08,1000,2032.8525193304768,192.24697365979566,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2023-07-09,1000,2032.8525193304768,180.85033045267653,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2023-07-10,1000,2032.8525193304768,147.29139327693838,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2023-07-11,1000,2032.8525193304768,27.449905951216397,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2023-07-12,1000,2032.8525193304768,16.463407263721276,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2023-07-13,1000,2032.8525193304768,12.163739370359588,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2023-07-14,1000,2032.8525193304768,4.358163285285035,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2023-07-15,1000,2032.8525193304768,32.51306008485167,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2023-07-16,1000,2032.8525193304768,9.401340420358602,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2023-07-17,1000,2032.8525193304768,14.035581309365448,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2023-07-18,1000,2032.8525193304768,12.092253392751996,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2023-07-19,1000,2032.8525193304768,18.59845347057584,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2023-07-20,1000,2032.8525193304768,20.787850443963006,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2023-07-21,1000,2032.8525193304768,52.9873185968,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2023-07-22,1000,2032.8525193304768,51.2210940510287,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2023-07-23,1000,2032.8525193304768,2.400611550950902,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,2023-07-24,1000,2032.8525193304768,3.4801309558060547,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,2023-07-25,1000,2032.8525193304768,39.55916511275524,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2023-07-26,1000,2032.8525193304768,29.304633073547894,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2023-07-27,1000,2032.8525193304768,7.657829953984246,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2023-07-28,1000,2032.8525193304768,13.51242198647088,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2023-07-29,1000,2032.8525193304768,4.140045902862842,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2023-07-30,1000,2032.8525193304768,3.5329996628671174,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,2023-07-31,1000,2032.8525193304768,1.9936384072702558,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,2023-08-01,1000,2032.8525193304768,2.433880469543955,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,2023-08-02,1000,2032.8525193304768,25.01961403892737,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,2023-08-03,1000,2032.8525193304768,6.112795207607899,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,2023-08-04,1000,2032.8525193304768,29.979446400643205,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,2023-08-05,1000,2032.8525193304768,3.838165426238915,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,2023-08-06,1000,2032.8525193304768,8.31615917205027,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,2023-08-07,1000,2032.8525193304768,2.8524626329278604,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,2023-08-08,1000,2032.8525193304768,2.522720549587693,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,2023-08-09,1000,2032.8525193304768,8.789601113073926,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,2023-08-10,1000,2032.8525193304768,70.2112961402472,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,2023-08-11,1000,2032.8525193304768,63.60259440380409,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,2023-08-12,1000,2032.8525193304768,10.703399736763851,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,2023-08-13,1000,2032.8525193304768,76.03686382524123,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,2023-08-14,1000,2032.8525193304768,64.04312018784364,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
