system:index,date,distance_to_water,elevation,rainfall_mm,soil_texture,water_occurrence,water_seasonality,.geo
0,2020-10-13,1000,550.0861020564286,252.53691596245383,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2020-10-14,1000,550.0861020564286,5.095886635045363,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2020-10-15,1000,550.0861020564286,0.3816718276983985,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2020-10-16,1000,550.0861020564286,0.13432192448113217,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2020-10-17,1000,550.0861020564286,68.18150902450986,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2020-10-18,1000,550.0861020564286,0.3186576111016654,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2020-10-19,1000,550.0861020564286,35.97536405505801,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2020-10-20,1000,550.0861020564286,43.88083744931124,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2020-10-21,1000,550.0861020564286,7.991654971117362,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2020-10-22,1000,550.0861020564286,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2020-10-23,1000,550.0861020564286,0.006325979478099404,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2020-10-24,1000,550.0861020564286,0.012212721020366744,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
