system:index,date,distance_to_water,elevation,rainfall_mm,soil_texture,water_occurrence,water_seasonality,.geo
0,2023-07-01,1000,206.53697220390535,0.20247966393697128,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2023-07-02,1000,206.53697220390535,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2023-07-03,1000,206.53697220390535,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2023-07-04,1000,206.53697220390535,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2023-07-05,1000,206.53697220390535,0.1907696011491264,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2023-07-06,1000,206.53697220390535,4.716023580582374,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2023-07-07,1000,206.53697220390535,36.8936396591991,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2023-07-08,1000,206.53697220390535,2.938554613022868,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2023-07-09,1000,206.53697220390535,0.13077918081257825,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2023-07-10,1000,206.53697220390535,0.5275976861063779,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2023-07-11,1000,206.53697220390535,0.7941678605311147,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2023-07-12,1000,206.53697220390535,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2023-07-13,1000,206.53697220390535,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2023-07-14,1000,206.53697220390535,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2023-07-15,1000,206.53697220390535,0.0030223813445393265,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2023-07-16,1000,206.53697220390535,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,2023-07-17,1000,206.53697220390535,0.14317934946183436,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,2023-07-18,1000,206.53697220390535,6.729221926803203,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2023-07-19,1000,206.53697220390535,59.13376432997456,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2023-07-20,1000,206.53697220390535,1.6234633932023477,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2023-07-21,1000,206.53697220390535,71.0791119150252,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2023-07-22,1000,206.53697220390535,23.650225782566928,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2023-07-23,1000,206.53697220390535,25.724045077327027,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,2023-07-24,1000,206.53697220390535,7.851393955833188,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,2023-07-25,1000,206.53697220390535,25.043052982251556,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,2023-07-26,1000,206.53697220390535,13.088922690736469,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,2023-07-27,1000,206.53697220390535,17.719849544084656,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,2023-07-28,1000,206.53697220390535,3.3284248141512607,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,2023-07-29,1000,206.53697220390535,0.007799009810296368,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,2023-07-30,1000,206.53697220390535,2.8876144596382366E-4,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,2023-07-31,1000,206.53697220390535,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,2023-08-01,1000,206.53697220390535,0.004122306604730231,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,2023-08-02,1000,206.53697220390535,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,2023-08-03,1000,206.53697220390535,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,2023-08-04,1000,206.53697220390535,0.005584486075229298,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,2023-08-05,1000,206.53697220390535,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,2023-08-06,1000,206.53697220390535,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,2023-08-07,1000,206.53697220390535,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,2023-08-08,1000,206.53697220390535,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,2023-08-09,1000,206.53697220390535,3.9304995685713446E-4,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,2023-08-10,1000,206.53697220390535,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,2023-08-11,1000,206.53697220390535,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,2023-08-12,1000,206.53697220390535,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,2023-08-13,1000,206.53697220390535,0.002149513703677436,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,2023-08-14,1000,206.53697220390535,0.014556607167703633,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,2023-08-15,1000,206.53697220390535,0.010817268383704151,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,2023-08-16,1000,206.53697220390535,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,2023-08-17,1000,206.53697220390535,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,2023-08-18,1000,206.53697220390535,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,2023-08-19,1000,206.53697220390535,1.301488994367385,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,2023-08-20,1000,206.53697220390535,4.462941961587556,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,2023-08-21,1000,206.53697220390535,0.08674275279318597,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,2023-08-22,1000,206.53697220390535,0.024503097778193025,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,2023-08-23,1000,206.53697220390535,0.17434511215947232,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,2023-08-24,1000,206.53697220390535,5.981437308712083E-4,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,2023-08-25,1000,206.53697220390535,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,2023-08-26,1000,206.53697220390535,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,2023-08-27,1000,206.53697220390535,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,2023-08-28,1000,206.53697220390535,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,2023-08-29,1000,206.53697220390535,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,2023-08-30,1000,206.53697220390535,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,2023-08-31,1000,206.53697220390535,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,2023-09-01,1000,206.53697220390535,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,2023-09-02,1000,206.53697220390535,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,2023-09-03,1000,206.53697220390535,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,2023-09-04,1000,206.53697220390535,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,2023-09-05,1000,206.53697220390535,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,2023-09-06,1000,206.53697220390535,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,2023-09-07,1000,206.53697220390535,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,2023-09-08,1000,206.53697220390535,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,2023-09-09,1000,206.53697220390535,3.1088008374246064E-4,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,2023-09-10,1000,206.53697220390535,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,2023-09-11,1000,206.53697220390535,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,2023-09-12,1000,206.53697220390535,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,2023-09-13,1000,206.53697220390535,0.005373157426019994,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
