system:index,date,distance_to_water,elevation,rainfall_mm,soil_texture,water_occurrence,water_seasonality,.geo
0,2022-05-15,1000,138.07384220490198,126.4038546217236,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2022-05-16,1000,138.07384220490198,107.27757389056438,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2022-05-17,1000,138.07384220490198,101.84670869348679,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2022-05-18,1000,138.07384220490198,119.74333994263618,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2022-05-19,1000,138.07384220490198,110.62202657028064,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2022-05-20,1000,138.07384220490198,25.16760806931549,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2022-05-21,1000,138.07384220490198,20.049893699884237,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2022-05-22,1000,138.07384220490198,7.812026388433827,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2022-05-23,1000,138.07384220490198,1.8560382476310848,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2022-05-24,1000,138.07384220490198,12.132956331158073,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2022-05-25,1000,138.07384220490198,19.731509858531147,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2022-05-26,1000,138.07384220490198,5.732820338405564,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2022-05-27,1000,138.07384220490198,6.161922342397152,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2022-05-28,1000,138.07384220490198,0.8895485937191352,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2022-05-29,1000,138.07384220490198,5.553171864197056,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2022-05-30,1000,138.07384220490198,15.844456333936577,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,2022-05-31,1000,138.07384220490198,11.76083453885355,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,2022-06-01,1000,138.07384220490198,13.383134197045665,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2022-06-02,1000,138.07384220490198,12.179235549597374,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2022-06-03,1000,138.07384220490198,23.110057130972212,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2022-06-04,1000,138.07384220490198,27.129651870415046,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2022-06-05,1000,138.07384220490198,25.49932638147947,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2022-06-06,1000,138.07384220490198,43.162343708684,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,2022-06-07,1000,138.07384220490198,17.646679801145993,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,2022-06-08,1000,138.07384220490198,31.553711785117027,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,2022-06-09,1000,138.07384220490198,58.6742756739367,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,2022-06-10,1000,138.07384220490198,8.158130937544206,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,2022-06-11,1000,138.07384220490198,64.0443341284246,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,2022-06-12,1000,138.07384220490198,110.77990557816192,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,2022-06-13,1000,138.07384220490198,119.69529484264099,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,2022-06-14,1000,138.07384220490198,288.66971620697524,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,2022-06-15,1000,138.07384220490198,216.5236327969785,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,2022-06-16,1000,138.07384220490198,234.6710589401548,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,2022-06-17,1000,138.07384220490198,107.34995650708179,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,2022-06-18,1000,138.07384220490198,65.30267121485981,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,2022-06-19,1000,138.07384220490198,38.99834422044426,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,2022-06-20,1000,138.07384220490198,13.02887043500237,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,2022-06-21,1000,138.07384220490198,22.73847453645587,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,2022-06-22,1000,138.07384220490198,11.681767357168946,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,2022-06-23,1000,138.07384220490198,4.534621414898301,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,2022-06-24,1000,138.07384220490198,13.961542798454449,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,2022-06-25,1000,138.07384220490198,8.031734582977665,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,2022-06-26,1000,138.07384220490198,14.36061849127911,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,2022-06-27,1000,138.07384220490198,39.123458863220655,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,2022-06-28,1000,138.07384220490198,63.29980012750605,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,2022-06-29,1000,138.07384220490198,45.18559160495537,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,2022-06-30,1000,138.07384220490198,20.963385812585855,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,2022-07-01,1000,138.07384220490198,9.391246895644063,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,2022-07-02,1000,138.07384220490198,6.006068186453894,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,2022-07-03,1000,138.07384220490198,9.111612844772289,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,2022-07-04,1000,138.07384220490198,3.064257554981421,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,2022-07-05,1000,138.07384220490198,10.098336768974482,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,2022-07-06,1000,138.07384220490198,32.46575498324547,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,2022-07-07,1000,138.07384220490198,1.016664380432157,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,2022-07-08,1000,138.07384220490198,14.568881969541264,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,2022-07-09,1000,138.07384220490198,3.2826549315320017,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,2022-07-10,1000,138.07384220490198,13.728257783340819,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,2022-07-11,1000,138.07384220490198,10.781358723526253,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,2022-07-12,1000,138.07384220490198,8.5905800410122,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,2022-07-13,1000,138.07384220490198,10.611625451134753,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
