system:index,date,distance_to_water,elevation,rainfall_mm,soil_texture,water_occurrence,water_seasonality,.geo
0,2021-01-01,1000,138.07384220490198,0.0070846329429000415,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2021-01-02,1000,138.07384220490198,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2021-01-03,1000,138.07384220490198,0.05171728646581002,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2021-01-04,1000,138.07384220490198,0.031528568021652714,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2021-01-05,1000,138.07384220490198,0.02103256649443037,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2021-01-06,1000,138.07384220490198,0.027438431692877303,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2021-01-07,1000,138.07384220490198,0.002773821010358718,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2021-01-08,1000,138.07384220490198,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2021-01-09,1000,138.07384220490198,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2021-01-10,1000,138.07384220490198,3.055553306425643E-4,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2021-01-11,1000,138.07384220490198,3.82734939578592E-5,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2021-01-12,1000,138.07384220490198,0.1784359520046399,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2021-01-13,1000,138.07384220490198,0.01712570329998769,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2021-01-14,1000,138.07384220490198,0.010119310236024488,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2021-01-15,1000,138.07384220490198,0.017163006378360254,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2021-01-16,1000,138.07384220490198,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,2021-01-17,1000,138.07384220490198,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,2021-01-18,1000,138.07384220490198,0.0898162601822637,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2021-01-19,1000,138.07384220490198,2.185203950516207,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2021-01-20,1000,138.07384220490198,1.478530379367972,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2021-01-21,1000,138.07384220490198,0.09698160653574535,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2021-01-22,1000,138.07384220490198,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2021-01-23,1000,138.07384220490198,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,2021-01-24,1000,138.07384220490198,3.082023408628754E-4,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,2021-01-25,1000,138.07384220490198,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,2021-01-26,1000,138.07384220490198,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,2021-01-27,1000,138.07384220490198,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,2021-01-28,1000,138.07384220490198,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,2021-01-29,1000,138.07384220490198,0.03369440853807168,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,2021-01-30,1000,138.07384220490198,0.12395817226165795,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,2021-01-31,1000,138.07384220490198,0.009946530024986222,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,2021-02-01,1000,138.07384220490198,0.013071630417309443,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,2021-02-02,1000,138.07384220490198,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,2021-02-03,1000,138.07384220490198,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,2021-02-04,1000,138.07384220490198,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,2021-02-05,1000,138.07384220490198,0.013785050123644704,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,2021-02-06,1000,138.07384220490198,0.05459838642420257,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,2021-02-07,1000,138.07384220490198,0.4192110321308204,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,2021-02-08,1000,138.07384220490198,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,2021-02-09,1000,138.07384220490198,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,2021-02-10,1000,138.07384220490198,0.006527733150393762,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,2021-02-11,1000,138.07384220490198,0.0015129932783774825,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,2021-02-12,1000,138.07384220490198,6.724414709735464E-4,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,2021-02-13,1000,138.07384220490198,6.724414709735464E-4,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,2021-02-14,1000,138.07384220490198,0.006421889222095826,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,2021-02-15,1000,138.07384220490198,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,2021-02-16,1000,138.07384220490198,0.05196157701867101,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,2021-02-17,1000,138.07384220490198,0.5339321990394037,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,2021-02-18,1000,138.07384220490198,0.08946978342664308,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,2021-02-19,1000,138.07384220490198,1.3231819381590735,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,2021-02-20,1000,138.07384220490198,0.004440292906820053,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,2021-02-21,1000,138.07384220490198,6.724414709735464E-4,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
