system:index,date,distance_to_water,elevation,rainfall_mm,soil_texture,water_occurrence,water_seasonality,.geo
0,2021-01-01,1000,498.43302106325865,0.05147346511250269,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2021-01-02,1000,498.43302106325865,0.2415963480953904,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2021-01-03,1000,498.43302106325865,0.08974301315735918,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2021-01-04,1000,498.43302106325865,0.642022572446202,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2021-01-05,1000,498.43302106325865,0.3742400457191874,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2021-01-06,1000,498.43302106325865,3.8184879266776317,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2021-01-07,1000,498.43302106325865,2.6361402731964523,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2021-01-08,1000,498.43302106325865,5.910519749013884,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2021-01-09,1000,498.43302106325865,0.3195784290612374,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2021-01-10,1000,498.43302106325865,0.25295649410231136,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2021-01-11,1000,498.43302106325865,1.042695169110273,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2021-01-12,1000,498.43302106325865,0.8826527574442804,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2021-01-13,1000,498.43302106325865,0.13208277640123245,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2021-01-14,1000,498.43302106325865,0.212630753320658,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2021-01-15,1000,498.43302106325865,1.107277993123166,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2021-01-16,1000,498.43302106325865,0.7185087482373484,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,2021-01-17,1000,498.43302106325865,0.5789233713336615,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,2021-01-18,1000,498.43302106325865,0.00824997883759958,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2021-01-19,1000,498.43302106325865,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2021-01-20,1000,498.43302106325865,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2021-01-21,1000,498.43302106325865,0.0019201133972591177,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2021-01-22,1000,498.43302106325865,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2021-01-23,1000,498.43302106325865,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,2021-01-24,1000,498.43302106325865,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,2021-01-25,1000,498.43302106325865,9.763288676400258E-5,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,2021-01-26,1000,498.43302106325865,0.0010650860241996334,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,2021-01-27,1000,498.43302106325865,0.0036449612028456573,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,2021-01-28,1000,498.43302106325865,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,2021-01-29,1000,498.43302106325865,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,2021-01-30,1000,498.43302106325865,0.002164195702065914,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,2021-01-31,1000,498.43302106325865,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,2021-02-01,1000,498.43302106325865,0.0034841828087229802,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,2021-02-02,1000,498.43302106325865,0.004468923534793301,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,2021-02-03,1000,498.43302106325865,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,2021-02-04,1000,498.43302106325865,0.003319518162099783,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,2021-02-05,1000,498.43302106325865,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,2021-02-06,1000,498.43302106325865,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,2021-02-07,1000,498.43302106325865,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,2021-02-08,1000,498.43302106325865,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,2021-02-09,1000,498.43302106325865,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,2021-02-10,1000,498.43302106325865,3.417151127667804E-4,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,2021-02-11,1000,498.43302106325865,0.004230758365821636,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,2021-02-12,1000,498.43302106325865,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,2021-02-13,1000,498.43302106325865,0.014371265057069635,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,2021-02-14,1000,498.43302106325865,0.0030591638458905565,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,2021-02-15,1000,498.43302106325865,3.2544294375631345E-4,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,2021-02-16,1000,498.43302106325865,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,2021-02-17,1000,498.43302106325865,0.12911573202892035,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,2021-02-18,1000,498.43302106325865,1.4855530491387803,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,2021-02-19,1000,498.43302106325865,1.3504928267493912,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,2021-02-20,1000,498.43302106325865,0.17862953171831195,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,2021-02-21,1000,498.43302106325865,0.7010259048679972,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,2021-02-22,1000,498.43302106325865,0.10012665912014496,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,2021-02-23,1000,498.43302106325865,0.019804683192241317,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,2021-02-24,1000,498.43302106325865,4.3934798134524024E-4,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,2021-02-25,1000,498.43302106325865,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,2021-02-26,1000,498.43302106325865,0.0036124168405773332,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,2021-02-27,1000,498.43302106325865,0.0027174487210000807,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,2021-02-28,1000,498.43302106325865,0.001133498659503088,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,2021-03-01,1000,498.43302106325865,0.002508334696717289,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,2021-03-02,1000,498.43302106325865,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,2021-03-03,1000,498.43302106325865,6.508859117600172E-5,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,2021-03-04,1000,498.43302106325865,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,2021-03-05,1000,498.43302106325865,0.0018136048199682679,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,2021-03-06,1000,498.43302106325865,0.0015147889973894308,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,2021-03-07,1000,498.43302106325865,0.003035495236420786,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,2021-03-08,1000,498.43302106325865,0.004920105665469698,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,2021-03-09,1000,498.43302106325865,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,2021-03-10,1000,498.43302106325865,0.001241121076505302,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
