system:index,date,distance_to_water,elevation,rainfall_mm,soil_texture,water_occurrence,water_seasonality,.geo
0,2018-07-01,1000,396.59214195973345,30.641649998131907,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2018-07-02,1000,396.59214195973345,44.08596493945359,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2018-07-03,1000,396.59214195973345,4.346957461396424,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2018-07-04,1000,396.59214195973345,0.2704471220287198,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2018-07-05,1000,396.59214195973345,1.115205934870419,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2018-07-06,1000,396.59214195973345,7.911784062244457,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2018-07-07,1000,396.59214195973345,28.81440277720143,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2018-07-08,1000,396.59214195973345,37.28046822741052,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2018-07-09,1000,396.59214195973345,100.52433134498845,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2018-07-10,1000,396.59214195973345,96.58386783414575,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2018-07-11,1000,396.59214195973345,74.88494985298598,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2018-07-12,1000,396.59214195973345,5.845373220250307,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2018-07-13,1000,396.59214195973345,13.424335353405477,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2018-07-14,1000,396.59214195973345,15.71387664758457,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2018-07-15,1000,396.59214195973345,127.21075341016272,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2018-07-16,1000,396.59214195973345,79.64515247459293,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,2018-07-17,1000,396.59214195973345,36.693367792050665,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,2018-07-18,1000,396.59214195973345,28.972932849593008,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2018-07-19,1000,396.59214195973345,54.41509129931995,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2018-07-20,1000,396.59214195973345,20.864420269820467,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
