system:index,date,distance_to_water,elevation,rainfall_mm,soil_texture,water_occurrence,water_seasonality,.geo
0,2019-01-01,1000,396.59214195973345,0.0021261948177260168,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2019-01-02,1000,396.59214195973345,6.660773084201944E-4,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2019-01-03,1000,396.59214195973345,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2019-01-04,1000,396.59214195973345,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2019-01-05,1000,396.59214195973345,0.036240546978742315,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2019-01-06,1000,396.59214195973345,0.03887873440932207,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2019-01-07,1000,396.59214195973345,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2019-01-08,1000,396.59214195973345,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2019-01-09,1000,396.59214195973345,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2019-01-10,1000,396.59214195973345,0.01397267901621525,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2019-01-11,1000,396.59214195973345,0.003992194050819518,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2019-01-12,1000,396.59214195973345,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2019-01-13,1000,396.59214195973345,0.35391006494088967,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2019-01-14,1000,396.59214195973345,0.005429949753268526,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2019-01-15,1000,396.59214195973345,0.46592026072448905,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2019-01-16,1000,396.59214195973345,0.02529248134600874,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
