system:index,date,distance_to_water,elevation,rainfall_mm,soil_texture,water_occurrence,water_seasonality,.geo
0,2023-09-01,1000,369.46271387098363,0.3234877761220435,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2023-09-02,1000,369.46271387098363,0.5344255409606224,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2023-09-03,1000,369.46271387098363,0.24619218004164053,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2023-09-04,1000,369.46271387098363,0.038251565608442575,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2023-09-05,1000,369.46271387098363,2.194295831870984,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2023-09-06,1000,369.46271387098363,16.865056550458046,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2023-09-07,1000,369.46271387098363,97.07028480414495,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2023-09-08,1000,369.46271387098363,202.757725968463,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2023-09-09,1000,369.46271387098363,36.73593263013302,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2023-09-10,1000,369.46271387098363,1.6480741464660207,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2023-09-11,1000,369.46271387098363,0.19793924069199226,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2023-09-12,1000,369.46271387098363,0.44097191584466156,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2023-09-13,1000,369.46271387098363,0.9842180336738947,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2023-09-14,1000,369.46271387098363,32.06889005369532,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2023-09-15,1000,369.46271387098363,205.7273904094496,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2023-09-16,1000,369.46271387098363,188.44090265059137,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,2023-09-17,1000,369.46271387098363,13.628574953778696,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,2023-09-18,1000,369.46271387098363,1.3343926020044976,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2023-09-19,1000,369.46271387098363,0.20833485590671305,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2023-09-20,1000,369.46271387098363,0.3169976041607066,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2023-09-21,1000,369.46271387098363,12.045528891131783,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2023-09-22,1000,369.46271387098363,10.206607275766865,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2023-09-23,1000,369.46271387098363,26.22857534926319,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,2023-09-24,1000,369.46271387098363,66.72903913206179,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,2023-09-25,1000,369.46271387098363,1.0839043268577864,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,2023-09-26,1000,369.46271387098363,20.57700297350705,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,2023-09-27,1000,369.46271387098363,4.025254375041434,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,2023-09-28,1000,369.46271387098363,4.458935177586539,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,2023-09-29,1000,369.46271387098363,3.2730652543619914,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
