system:index,date,distance_to_water,elevation,rainfall_mm,soil_texture,water_occurrence,water_seasonality,.geo
0,2019-09-20,1000,30.55196880625085,32.390058468169514,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2019-09-21,1000,30.55196880625085,4.15247970906285,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2019-09-22,1000,30.55196880625085,1.1722011343724184,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2019-09-23,1000,30.55196880625085,2.287008156432751,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2019-09-24,1000,30.55196880625085,118.44819015975598,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2019-09-25,1000,30.55196880625085,57.568656529907436,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2019-09-26,1000,30.55196880625085,83.4218644052427,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2019-09-27,1000,30.55196880625085,28.123766200654366,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2019-09-28,1000,30.55196880625085,1.890014217310509,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2019-09-29,1000,30.55196880625085,0.751898350275264,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
