system:index,date,distance_to_water,elevation,rainfall_mm,soil_texture,water_occurrence,water_seasonality,.geo
0,2023-01-01,1000,30.55196880625085,3.519639204480317E-4,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2023-01-02,1000,30.55196880625085,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2023-01-03,1000,30.55196880625085,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2023-01-04,1000,30.55196880625085,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2023-01-05,1000,30.55196880625085,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2023-01-06,1000,30.55196880625085,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2023-01-07,1000,30.55196880625085,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2023-01-08,1000,30.55196880625085,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2023-01-09,1000,30.55196880625085,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2023-01-10,1000,30.55196880625085,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2023-01-11,1000,30.55196880625085,0.0013014120698593265,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2023-01-12,1000,30.55196880625085,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2023-01-13,1000,30.55196880625085,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2023-01-14,1000,30.55196880625085,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2023-01-15,1000,30.55196880625085,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2023-01-16,1000,30.55196880625085,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,2023-01-17,1000,30.55196880625085,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,2023-01-18,1000,30.55196880625085,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2023-01-19,1000,30.55196880625085,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2023-01-20,1000,30.55196880625085,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2023-01-21,1000,30.55196880625085,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2023-01-22,1000,30.55196880625085,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2023-01-23,1000,30.55196880625085,0.044514054996218584,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,2023-01-24,1000,30.55196880625085,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,2023-01-25,1000,30.55196880625085,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,2023-01-26,1000,30.55196880625085,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,2023-01-27,1000,30.55196880625085,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,2023-01-28,1000,30.55196880625085,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,2023-01-29,1000,30.55196880625085,0.37863033259705686,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,2023-01-30,1000,30.55196880625085,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,2023-01-31,1000,30.55196880625085,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,2023-02-01,1000,30.55196880625085,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,2023-02-02,1000,30.55196880625085,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,2023-02-03,1000,30.55196880625085,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,2023-02-04,1000,30.55196880625085,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,2023-02-05,1000,30.55196880625085,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,2023-02-06,1000,30.55196880625085,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,2023-02-07,1000,30.55196880625085,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,2023-02-08,1000,30.55196880625085,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,2023-02-09,1000,30.55196880625085,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,2023-02-10,1000,30.55196880625085,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,2023-02-11,1000,30.55196880625085,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,2023-02-12,1000,30.55196880625085,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,2023-02-13,1000,30.55196880625085,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,2023-02-14,1000,30.55196880625085,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,2023-02-15,1000,30.55196880625085,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,2023-02-16,1000,30.55196880625085,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,2023-02-17,1000,30.55196880625085,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,2023-02-18,1000,30.55196880625085,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,2023-02-19,1000,30.55196880625085,0.013648901908738787,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,2023-02-20,1000,30.55196880625085,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,2023-02-21,1000,30.55196880625085,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,2023-02-22,1000,30.55196880625085,0.04517444487183498,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,2023-02-23,1000,30.55196880625085,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,2023-02-24,1000,30.55196880625085,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
