system:index,date,distance_to_water,elevation,rainfall_mm,soil_texture,water_occurrence,water_seasonality,.geo
0,2020-09-01,1000,210.24137232313467,48.13616412054432,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2020-09-02,1000,210.24137232313467,4.995223904775433,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2020-09-03,1000,210.24137232313467,2.6071669200458256,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2020-09-04,1000,210.24137232313467,1.4700502473213959,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2020-09-05,1000,210.24137232313467,0.5439568900060723,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2020-09-06,1000,210.24137232313467,2.6902644065547645,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2020-09-07,1000,210.24137232313467,5.9604949123067525,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2020-09-08,1000,210.24137232313467,18.893230016343836,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2020-09-09,1000,210.24137232313467,10.257339007110847,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2020-09-10,1000,210.24137232313467,5.915927722138349,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2020-09-11,1000,210.24137232313467,4.791662471311697,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2020-09-12,1000,210.24137232313467,0.5016603552545008,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2020-09-13,1000,210.24137232313467,1.7458730524458315,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2020-09-14,1000,210.24137232313467,3.3761820106400946,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2020-09-15,1000,210.24137232313467,2.4411672124342627,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2020-09-16,1000,210.24137232313467,1.506945843428528,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,2020-09-17,1000,210.24137232313467,0.2969014086260472,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,2020-09-18,1000,210.24137232313467,9.172211851607932,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2020-09-19,1000,210.24137232313467,2.5863261359750416,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2020-09-20,1000,210.24137232313467,30.150984332450495,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2020-09-21,1000,210.24137232313467,37.74081321581489,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2020-09-22,1000,210.24137232313467,2.1498804980120734,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2020-09-23,1000,210.24137232313467,1.738795018370064,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,2020-09-24,1000,210.24137232313467,7.768375377187584,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,2020-09-25,1000,210.24137232313467,9.364775792662083,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,2020-09-26,1000,210.24137232313467,10.230458220262058,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,2020-09-27,1000,210.24137232313467,1.0654060533867737,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,2020-09-28,1000,210.24137232313467,3.3596732721909124,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,2020-09-29,1000,210.24137232313467,21.21934149111013,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,2020-09-30,1000,210.24137232313467,60.47978075184076,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,2020-10-01,1000,210.24137232313467,54.36421112266391,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,2020-10-02,1000,210.24137232313467,17.81618880774517,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,2020-10-03,1000,210.24137232313467,39.9591120027061,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,2020-10-04,1000,210.24137232313467,15.263041292033279,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,2020-10-05,1000,210.24137232313467,16.711791872501678,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,2020-10-06,1000,210.24137232313467,12.930112408550213,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,2020-10-07,1000,210.24137232313467,5.304949397910411,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,2020-10-08,1000,210.24137232313467,3.882574977563673,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,2020-10-09,1000,210.24137232313467,4.477550708140468,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,2020-10-10,1000,210.24137232313467,13.907091046919797,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,2020-10-11,1000,210.24137232313467,0.24436149936447285,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,2020-10-12,1000,210.24137232313467,0.5954762121584757,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,2020-10-13,1000,210.24137232313467,18.847195260468055,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,2020-10-14,1000,210.24137232313467,26.35233048297329,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
