system:index,date,distance_to_water,elevation,rainfall_mm,soil_texture,water_occurrence,water_seasonality,.geo
0,2022-02-01,1000,210.24137232313467,0.03604801160964355,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2022-02-02,1000,210.24137232313467,0.008081236754212594,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2022-02-03,1000,210.24137232313467,0.08909424035542327,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2022-02-04,1000,210.24137232313467,16.223401542498458,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2022-02-05,1000,210.24137232313467,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2022-02-06,1000,210.24137232313467,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2022-02-07,1000,210.24137232313467,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2022-02-08,1000,210.24137232313467,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2022-02-09,1000,210.24137232313467,0.01055421727917283,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2022-02-10,1000,210.24137232313467,0.31236677707171157,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2022-02-11,1000,210.24137232313467,7.811960822550238E-4,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2022-02-12,1000,210.24137232313467,0.11170164019865193,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2022-02-13,1000,210.24137232313467,0.002406425097409916,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2022-02-14,1000,210.24137232313467,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2022-02-15,1000,210.24137232313467,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2022-02-16,1000,210.24137232313467,0.058753221770915375,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,2022-02-17,1000,210.24137232313467,0.22514800167546548,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,2022-02-18,1000,210.24137232313467,0.013960398961158053,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2022-02-19,1000,210.24137232313467,0.16728363885800474,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2022-02-20,1000,210.24137232313467,1.0774859292607895,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2022-02-21,1000,210.24137232313467,3.8502801558558674E-4,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2022-02-22,1000,210.24137232313467,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2022-02-23,1000,210.24137232313467,0.00231016809351352,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,2022-02-24,1000,210.24137232313467,0.18053804509068946,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,2022-02-25,1000,210.24137232313467,4.3712627106545625,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,2022-02-26,1000,210.24137232313467,3.5287913135895193,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,2022-02-27,1000,210.24137232313467,0.08475559847455824,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,2022-02-28,1000,210.24137232313467,0.02626249616749626,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,2022-03-01,1000,210.24137232313467,0.1602814844022466,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,2022-03-02,1000,210.24137232313467,0.007471667259240484,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,2022-03-03,1000,210.24137232313467,0.0021186984655098373,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,2022-03-04,1000,210.24137232313467,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,2022-03-05,1000,210.24137232313467,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,2022-03-06,1000,210.24137232313467,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,2022-03-07,1000,210.24137232313467,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,2022-03-08,1000,210.24137232313467,0.00838219201392651,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,2022-03-09,1000,210.24137232313467,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,2022-03-10,1000,210.24137232313467,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,2022-03-11,1000,210.24137232313467,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,2022-03-12,1000,210.24137232313467,0.008433029125238425,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,2022-03-13,1000,210.24137232313467,0.012119086357245042,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,2022-03-14,1000,210.24137232313467,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,2022-03-15,1000,210.24137232313467,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,2022-03-16,1000,210.24137232313467,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,2022-03-17,1000,210.24137232313467,0.03044941490356775,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,2022-03-18,1000,210.24137232313467,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,2022-03-19,1000,210.24137232313467,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,2022-03-20,1000,210.24137232313467,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,2022-03-21,1000,210.24137232313467,0.06342966273486095,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,2022-03-22,1000,210.24137232313467,0.23315019655213606,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,2022-03-23,1000,210.24137232313467,0.034544226428525567,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,2022-03-24,1000,210.24137232313467,0.01130435952100986,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,2022-03-25,1000,210.24137232313467,0.12530598493853323,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,2022-03-26,1000,210.24137232313467,0.04458035554107515,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,2022-03-27,1000,210.24137232313467,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,2022-03-28,1000,210.24137232313467,6.509967352125198E-5,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,2022-03-29,1000,210.24137232313467,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,2022-03-30,1000,210.24137232313467,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,2022-03-31,1000,210.24137232313467,0.0,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,2022-04-01,1000,210.24137232313467,0.005637981384498841,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,2022-04-02,1000,210.24137232313467,0.12416909839757387,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,2022-04-03,1000,210.24137232313467,0.10692900350469621,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,2022-04-04,1000,210.24137232313467,0.038675978190251065,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,2022-04-05,1000,210.24137232313467,0.06382460152622765,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,2022-04-06,1000,210.24137232313467,1.289384302562354,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,2022-04-07,1000,210.24137232313467,0.524695547470567,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
