system:index,date,distance_to_water,elevation,rainfall_mm,soil_texture,water_occurrence,water_seasonality,.geo
0,2022-10-01,1000,3357.1877850056385,3.7660590586016864,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2022-10-02,1000,3357.1877850056385,3.680485909292467,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2022-10-03,1000,3357.1877850056385,2.306608577512611,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2022-10-04,1000,3357.1877850056385,2.366551928831526,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2022-10-05,1000,3357.1877850056385,1.2313010354004585,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2022-10-06,1000,3357.1877850056385,6.025145296316457,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2022-10-07,1000,3357.1877850056385,48.02763245973605,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2022-10-08,1000,3357.1877850056385,133.8182719090708,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2022-10-09,1000,3357.1877850056385,163.42351210597263,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2022-10-10,1000,3357.1877850056385,60.52753237750757,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2022-10-11,1000,3357.1877850056385,7.089659094714061,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2022-10-12,1000,3357.1877850056385,2.306725197563566,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2022-10-13,1000,3357.1877850056385,7.155850220001138,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2022-10-14,1000,3357.1877850056385,0.6566739657396768,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2022-10-15,1000,3357.1877850056385,4.492119046186803,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2022-10-16,1000,3357.1877850056385,1.681765879334401,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,2022-10-17,1000,3357.1877850056385,1.3505792333444968,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,2022-10-18,1000,3357.1877850056385,3.482066242279106,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2022-10-19,1000,3357.1877850056385,0.8016703818285328,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2022-10-20,1000,3357.1877850056385,0.7530507422058976,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2022-10-21,1000,3357.1877850056385,0.7506117793355436,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2022-10-22,1000,3357.1877850056385,0.06203492397145939,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2022-10-23,1000,3357.1877850056385,0.32496658061610867,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,2022-10-24,1000,3357.1877850056385,0.14278511827358162,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,2022-10-25,1000,3357.1877850056385,0.1682273296024468,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,2022-10-26,1000,3357.1877850056385,0.8534574251589493,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,2022-10-27,1000,3357.1877850056385,1.4701788206940598,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,2022-10-28,1000,3357.1877850056385,2.7184447593834085,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,2022-10-29,1000,3357.1877850056385,2.1412270152925763,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,2022-10-30,1000,3357.1877850056385,0.616218639506425,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,2022-10-31,1000,3357.1877850056385,0.9175218529484768,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,2022-11-01,1000,3357.1877850056385,3.197882200498374,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,2022-11-02,1000,3357.1877850056385,0.3457332515557918,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,2022-11-03,1000,3357.1877850056385,0.17733123217279545,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,2022-11-04,1000,3357.1877850056385,0.4572913770325975,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,2022-11-05,1000,3357.1877850056385,1.6971593237874807,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,2022-11-06,1000,3357.1877850056385,1.2586050076362973,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,2022-11-07,1000,3357.1877850056385,2.4445287784680456,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,2022-11-08,1000,3357.1877850056385,0.3802878588015586,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,2022-11-09,1000,3357.1877850056385,1.0809312436390497,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,2022-11-10,1000,3357.1877850056385,1.1722755433890402,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,2022-11-11,1000,3357.1877850056385,0.2531620249776877,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,2022-11-12,1000,3357.1877850056385,0.2167586844868832,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,2022-11-13,1000,3357.1877850056385,0.21988108840046358,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,2022-11-14,1000,3357.1877850056385,5.624612347234716,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,2022-11-15,1000,3357.1877850056385,0.9073752592194393,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,2022-11-16,1000,3357.1877850056385,2.412853325717997,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,2022-11-17,1000,3357.1877850056385,1.2638171628149375,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,2022-11-18,1000,3357.1877850056385,0.8978882018464235,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,2022-11-19,1000,3357.1877850056385,0.4473420287686922,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,2022-11-20,1000,3357.1877850056385,0.28903229514325773,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,2022-11-21,1000,3357.1877850056385,0.8450302428203414,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,2022-11-22,1000,3357.1877850056385,0.5084992561697059,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,2022-11-23,1000,3357.1877850056385,2.1877224562006057,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,2022-11-24,1000,3357.1877850056385,0.3076561977170397,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,2022-11-25,1000,3357.1877850056385,0.7349894738467624,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,2022-11-26,1000,3357.1877850056385,0.1058196278821327,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,2022-11-27,1000,3357.1877850056385,0.570840463361162,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,2022-11-28,1000,3357.1877850056385,0.9773738674818933,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,2022-11-29,1000,3357.1877850056385,0.5587498594928111,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,2022-11-30,1000,3357.1877850056385,1.3634027884427797,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
