system:index,date,distance_to_water,elevation,rainfall_mm,soil_texture,water_occurrence,water_seasonality,.geo
0,2015-08-01,1000,21.582815720711114,79.25837004917838,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2015-08-02,1000,21.582815720711114,25.388065826041053,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2015-08-03,1000,21.582815720711114,30.314907225360194,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2015-08-04,1000,21.582815720711114,4.224110772895818,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2015-08-05,1000,21.582815720711114,11.439070835498056,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2015-08-06,1000,21.582815720711114,9.811494707046528,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2015-08-07,1000,21.582815720711114,9.27989870641607,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2015-08-08,1000,21.582815720711114,6.507717947105691,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2015-08-09,1000,21.582815720711114,3.7350217784235533,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2015-08-10,1000,21.582815720711114,7.5406018934116545,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2015-08-11,1000,21.582815720711114,13.140824030136036,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2015-08-12,1000,21.582815720711114,14.049660830135423,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2015-08-13,1000,21.582815720711114,6.270033862595976,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2015-08-14,1000,21.582815720711114,3.955151733613386,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2015-08-15,1000,21.582815720711114,15.431021599447336,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2015-08-16,1000,21.582815720711114,36.407008565066945,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,2015-08-17,1000,21.582815720711114,18.51792077482756,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,2015-08-18,1000,21.582815720711114,20.045388249057723,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2015-08-19,1000,21.582815720711114,31.209093461875447,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2015-08-20,1000,21.582815720711114,15.986767775772847,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2015-08-21,1000,21.582815720711114,37.201005632152345,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2015-08-22,1000,21.582815720711114,3.7457823633024825,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2015-08-23,1000,21.582815720711114,9.769510055600477,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,2015-08-24,1000,21.582815720711114,20.955350543901947,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,2015-08-25,1000,21.582815720711114,16.314481249061984,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,2015-08-26,1000,21.582815720711114,2.748659595864134,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,2015-08-27,1000,21.582815720711114,7.155257646859667,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,2015-08-28,1000,21.582815720711114,18.723247581987135,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,2015-08-29,1000,21.582815720711114,13.025763795969413,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,2015-08-30,1000,21.582815720711114,20.443079954145162,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,2015-08-31,1000,21.582815720711114,69.66107172315729,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,2015-09-01,1000,21.582815720711114,43.38127801785693,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,2015-09-02,1000,21.582815720711114,23.26765562459799,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,2015-09-03,1000,21.582815720711114,6.3010551471935345,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,2015-09-04,1000,21.582815720711114,10.68960347937694,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,2015-09-05,1000,21.582815720711114,7.580886411207131,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,2015-09-06,1000,21.582815720711114,4.498803735363103,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,2015-09-07,1000,21.582815720711114,3.080976866819216,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,2015-09-08,1000,21.582815720711114,0.7458692750105156,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,2015-09-09,1000,21.582815720711114,1.6785823518261744,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,2015-09-10,1000,21.582815720711114,17.44482015234712,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,2015-09-11,1000,21.582815720711114,3.1572013373978276,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,2015-09-12,1000,21.582815720711114,3.046911432035298,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,2015-09-13,1000,21.582815720711114,5.150140413952658,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,2015-09-14,1000,21.582815720711114,9.481708124151321,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,2015-09-15,1000,21.582815720711114,20.01130437434362,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,2015-09-16,1000,21.582815720711114,4.925163162035103,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,2015-09-17,1000,21.582815720711114,0.7511581646277649,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,2015-09-18,1000,21.582815720711114,22.858988390285074,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,2015-09-19,1000,21.582815720711114,25.25024926603514,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,2015-09-20,1000,21.582815720711114,42.51874088468113,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,2015-09-21,1000,21.582815720711114,10.213032179069222,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,2015-09-22,1000,21.582815720711114,70.29902177460306,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,2015-09-23,1000,21.582815720711114,50.84178760255462,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,2015-09-24,1000,21.582815720711114,10.690363242583631,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,2015-09-25,1000,21.582815720711114,0.27403673883484353,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,2015-09-26,1000,21.582815720711114,0.34557608574729903,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,2015-09-27,1000,21.582815720711114,0.06321807382587862,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,2015-09-28,1000,21.582815720711114,0.13113058011991108,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,2015-09-29,1000,21.582815720711114,0.10799131623329769,4,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
